Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
03.09.20;11:02:48;1;0;0.0020;0.0880;0.0024;0.0787;0.0934;0.0758;0.0860;0.0024;0.0694;0.0034;0.1012;0.0943;0.1007;0.0968;0.0973;0.1496;0.1041;0.0020;0.0024;0.0024;0.1114;0.1237;0.0992;0.1266;0.0039;0.1789;0.0029;0.1696;0.2395;0.1999;0.1701;0.0039;0.1804;0.0059;0.2556;0.1891;0.1975;0.2498;0.2224;0.3050;0.2688;0.0049;0.0039;0.0049;0.2620;0.2434;0.1921;0.2219;0.000;0.508;0.000;0.536;0.610;0.621;0.494;0.000;0.615;0.000;0.604;0.501;0.490;0.613;0.563;0.510;0.613;0.000;0.000;0.000;0.575;0.492;0.483;0.430;
03.09.20;11:03:54;2;0;0.0020;0.0899;0.0024;0.0802;0.0968;0.0782;0.0870;0.0024;0.0714;0.0034;0.1046;0.0963;0.1036;0.0963;0.1007;0.1579;0.1065;0.0024;0.0020;0.0024;0.1134;0.1266;0.1022;0.1290;0.0044;0.1784;0.0034;0.1711;0.2419;0.2019;0.1691;0.0049;0.1833;0.0049;0.2590;0.1891;0.1975;0.2429;0.2229;0.3118;0.2693;0.0049;0.0039;0.0044;0.2586;0.2444;0.1931;0.2209;0.000;0.496;0.000;0.531;0.600;0.613;0.486;0.000;0.611;0.000;0.596;0.491;0.475;0.604;0.548;0.494;0.604;0.000;0.000;0.000;0.561;0.482;0.471;0.416;
03.09.20;11:04:55;3;0;0.0024;0.0909;0.0024;0.0802;0.0963;0.0792;0.0890;0.0024;0.0718;0.0034;0.1046;0.0968;0.1041;0.0973;0.1002;0.1588;0.1070;0.0020;0.0020;0.0024;0.1134;0.1281;0.1022;0.1290;0.0044;0.1804;0.0029;0.1681;0.2400;0.2019;0.1701;0.0044;0.1818;0.0054;0.2576;0.1877;0.2014;0.2449;0.2239;0.3133;0.2727;0.0044;0.0044;0.0029;0.2576;0.2444;0.1926;0.2195;0.000;0.496;0.000;0.523;0.599;0.608;0.477;0.000;0.605;0.000;0.594;0.484;0.483;0.603;0.552;0.493;0.608;0.000;0.000;0.000;0.560;0.476;0.470;0.412;
03.09.20;11:05:56;4;0;0.0020;0.0899;0.0024;0.0811;0.0953;0.0792;0.0885;0.0024;0.0728;0.0039;0.1051;0.0963;0.1056;0.0987;0.1012;0.1588;0.1080;0.0024;0.0020;0.0020;0.1139;0.1276;0.1017;0.1295;0.0039;0.1804;0.0024;0.1706;0.2366;0.2043;0.1701;0.0034;0.1838;0.0049;0.2566;0.1872;0.1994;0.2468;0.2229;0.3099;0.2732;0.0049;0.0039;0.0049;0.2571;0.2414;0.1911;0.2185;0.000;0.501;0.000;0.524;0.597;0.612;0.480;0.000;0.604;0.000;0.590;0.486;0.471;0.600;0.546;0.487;0.605;0.000;0.000;0.000;0.557;0.472;0.468;0.407;
03.09.20;11:06:56;5;0;0.0020;0.0904;0.0020;0.0811;0.0938;0.0797;0.0890;0.0024;0.0733;0.0034;0.1051;0.0968;0.1061;0.0992;0.1017;0.1593;0.1080;0.0024;0.0020;0.0020;0.1139;0.1276;0.1007;0.1290;0.0039;0.1774;0.0044;0.1716;0.2326;0.2048;0.1686;0.0044;0.1852;0.0044;0.2537;0.1867;0.2004;0.2468;0.2253;0.3060;0.2752;0.0049;0.0034;0.0034;0.2566;0.2405;0.1877;0.2170;0.000;0.490;0.000;0.527;0.597;0.611;0.472;0.000;0.604;0.000;0.586;0.482;0.471;0.598;0.549;0.479;0.607;0.000;0.000;0.000;0.556;0.470;0.464;0.405;
