Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
01.09.20;11:02:49;1;0;0.0640;0.0024;0.1056;0.1261;0.1315;0.0748;0.0024;0.1119;0.1173;0.1549;0.1144;0.0841;0.0606;0.0670;0.0024;0.0894;0.1153;0.0777;0.1193;0.0020;0.0890;0.0029;0.0938;0.1046;0.1549;0.0044;0.1808;0.2219;0.2478;0.1623;0.0039;0.2160;0.2204;0.3192;0.2019;0.2204;0.1369;0.1515;0.0059;0.1965;0.2004;0.1828;0.1877;0.0039;0.1779;0.0054;0.2229;0.1613;0.587;0.000;0.416;0.432;0.469;0.539;0.000;0.482;0.468;0.515;0.433;0.619;0.557;0.558;0.000;0.545;0.424;0.575;0.365;0.000;0.500;0.000;0.579;0.352;
01.09.20;11:03:06;2;0;0.0684;0.0024;0.1109;0.1349;0.1403;0.0806;0.0020;0.1217;0.1285;0.1696;0.1197;0.0919;0.0645;0.0709;0.0029;0.0973;0.1256;0.0826;0.1266;0.0020;0.0953;0.0029;0.1036;0.1114;0.1515;0.0044;0.1794;0.2165;0.2419;0.1623;0.0034;0.2136;0.2180;0.3109;0.1994;0.2190;0.1349;0.1471;0.0039;0.1979;0.1960;0.1828;0.1843;0.0039;0.1740;0.0039;0.2209;0.1593;0.548;0.000;0.381;0.377;0.420;0.503;0.000;0.430;0.410;0.454;0.400;0.580;0.522;0.518;0.000;0.509;0.359;0.548;0.313;0.000;0.452;0.000;0.531;0.301;
01.09.20;11:04:07;3;0;0.0655;0.0024;0.1051;0.1295;0.1329;0.0767;0.0024;0.1149;0.1202;0.1588;0.1168;0.0870;0.0626;0.0684;0.0024;0.0938;0.1158;0.0797;0.1207;0.0020;0.0899;0.0029;0.0992;0.1065;0.1520;0.0039;0.1769;0.2209;0.2424;0.1598;0.0039;0.2111;0.2190;0.3123;0.1994;0.2204;0.1359;0.1491;0.0049;0.2004;0.1940;0.1828;0.1833;0.0029;0.1711;0.0039;0.2258;0.1593;0.569;0.000;0.406;0.414;0.452;0.520;0.000;0.456;0.451;0.491;0.414;0.605;0.540;0.541;0.000;0.532;0.403;0.564;0.341;0.000;0.474;0.000;0.561;0.331;
01.09.20;11:05:08;4;0;0.0660;0.0024;0.1031;0.1300;0.1349;0.0777;0.0020;0.1153;0.1212;0.1603;0.1183;0.0885;0.0635;0.0699;0.0029;0.0929;0.1168;0.0787;0.1227;0.0020;0.0904;0.0029;0.0997;0.1070;0.1544;0.0044;0.1711;0.2219;0.2439;0.1603;0.0039;0.2131;0.2175;0.3109;0.2023;0.2219;0.1388;0.1510;0.0034;0.1979;0.1945;0.1808;0.1843;0.0039;0.1691;0.0049;0.2248;0.1608;0.573;0.000;0.397;0.414;0.447;0.515;0.000;0.459;0.443;0.484;0.415;0.601;0.542;0.537;0.000;0.531;0.399;0.565;0.334;0.000;0.465;0.000;0.557;0.334;
01.09.20;11:06:09;5;0;0.0660;0.0024;0.1036;0.1276;0.1364;0.0777;0.0024;0.1173;0.1227;0.1598;0.1193;0.0890;0.0630;0.0699;0.0024;0.0914;0.1168;0.0782;0.1222;0.0024;0.0909;0.0029;0.1002;0.1070;0.1544;0.0034;0.1720;0.2141;0.2454;0.1623;0.0034;0.2160;0.2199;0.3113;0.2048;0.2234;0.1388;0.1515;0.0044;0.1955;0.1931;0.1799;0.1813;0.0034;0.1711;0.0044;0.2268;0.1593;0.573;0.000;0.398;0.404;0.444;0.521;0.000;0.457;0.442;0.487;0.418;0.602;0.546;0.539;0.000;0.532;0.395;0.565;0.326;0.000;0.469;0.000;0.558;0.328;
