Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
05.09.20;10:05:02;1;0;0.0020;0.0792;0.0655;0.0753;0.0850;0.0587;0.0806;0.0958;0.1085;0.0034;0.1525;0.0826;0.0024;0.0723;0.0880;0.1002;0.0860;0.0679;0.0743;0.0024;0.0029;0.1036;0.1232;0.0723;0.0039;0.2058;0.1623;0.2155;0.2273;0.1520;0.2312;0.2209;0.2825;0.0064;0.2928;0.1799;0.0044;0.1852;0.1931;0.2708;0.2107;0.1872;0.1305;0.0039;0.0049;0.2121;0.2590;0.1520;0.000;0.615;0.596;0.651;0.626;0.614;0.651;0.566;0.616;0.000;0.479;0.541;0.000;0.609;0.544;0.630;0.592;0.637;0.431;0.000;0.000;0.512;0.525;0.524;
05.09.20;10:06:07;2;0;0.0024;0.0821;0.0670;0.0787;0.0880;0.0616;0.0831;0.0987;0.1129;0.0039;0.1603;0.0865;0.0024;0.0738;0.0914;0.1036;0.0885;0.0709;0.0762;0.0024;0.0024;0.1070;0.1271;0.0767;0.0039;0.2058;0.1613;0.2170;0.2248;0.1530;0.2322;0.2199;0.2801;0.0054;0.2972;0.1799;0.0044;0.1872;0.1926;0.2703;0.2136;0.1862;0.1300;0.0039;0.0044;0.2146;0.2615;0.1549;0.000;0.601;0.585;0.637;0.609;0.597;0.642;0.551;0.597;0.000;0.461;0.519;0.000;0.606;0.525;0.617;0.586;0.619;0.414;0.000;0.000;0.501;0.514;0.505;
05.09.20;10:07:10;3;0;0.0024;0.0826;0.0679;0.0787;0.0885;0.0626;0.0831;0.0997;0.1119;0.0034;0.1647;0.0870;0.0024;0.0758;0.0929;0.1041;0.0880;0.0714;0.0762;0.0024;0.0024;0.1070;0.1271;0.0806;0.0039;0.2072;0.1628;0.2151;0.2243;0.1540;0.2302;0.2214;0.2761;0.0049;0.3011;0.1804;0.0054;0.1877;0.1955;0.2727;0.2092;0.1862;0.1281;0.0044;0.0049;0.2155;0.2610;0.1608;0.000;0.601;0.583;0.634;0.606;0.594;0.639;0.550;0.595;0.000;0.453;0.518;0.000;0.596;0.525;0.618;0.579;0.617;0.405;0.000;0.000;0.503;0.513;0.498;
05.09.20;10:08:11;4;0;0.0020;0.0836;0.0674;0.0802;0.0890;0.0630;0.0836;0.1007;0.1149;0.0029;0.1657;0.0865;0.0020;0.0762;0.0948;0.1046;0.0880;0.0714;0.0762;0.0020;0.0020;0.1095;0.1281;0.0846;0.0049;0.2063;0.1608;0.2199;0.2268;0.1540;0.2307;0.2243;0.2825;0.0059;0.3016;0.1804;0.0039;0.1882;0.1984;0.2732;0.2082;0.1862;0.1285;0.0044;0.0054;0.2165;0.2610;0.1672;0.000;0.595;0.581;0.636;0.608;0.590;0.638;0.551;0.593;0.000;0.451;0.520;0.000;0.595;0.522;0.617;0.577;0.617;0.407;0.000;0.000;0.494;0.509;0.494;
