Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
04.09.20;11:23:47;1;0;0.1031;0.0777;0.1193;0.0718;0.0024;0.0753;0.0679;0.0029;0.0024;0.0049;0.0894;0.0020;0.0787;0.0029;0.2165;0.0787;0.1305;0.0723;0.0024;0.1114;0.0034;0.0044;0.0802;0.0704;0.2703;0.1970;0.2224;0.1926;0.0039;0.1672;0.1716;0.0039;0.0044;0.0073;0.1852;0.0039;0.1848;0.0039;0.3866;0.2023;0.2498;0.1857;0.0034;0.2155;0.0054;0.0059;0.1848;0.1730;0.618;0.605;0.464;0.627;0.000;0.550;0.604;0.000;0.000;0.000;0.517;0.000;0.574;0.000;0.440;0.611;0.477;0.611;0.000;0.483;0.000;0.000;0.566;0.593;
04.09.20;11:25:10;2;0;0.1036;0.0792;0.1207;0.0748;0.0029;0.0758;0.0679;0.0024;0.0029;0.0049;0.0870;0.0024;0.0792;0.0024;0.2199;0.0792;0.1349;0.0733;0.0020;0.1124;0.0039;0.0049;0.0816;0.0718;0.2639;0.1984;0.2199;0.1921;0.0039;0.1662;0.1672;0.0049;0.0034;0.0064;0.1769;0.0034;0.1872;0.0054;0.3891;0.1994;0.2527;0.1862;0.0039;0.2126;0.0044;0.0068;0.1867;0.1725;0.607;0.601;0.451;0.611;0.000;0.544;0.594;0.000;0.000;0.000;0.508;0.000;0.577;0.000;0.435;0.603;0.466;0.606;0.000;0.471;0.000;0.000;0.563;0.584;
04.09.20;11:26:11;3;0;0.1041;0.0811;0.1241;0.0758;0.0029;0.0767;0.0694;0.0024;0.0024;0.0054;0.0899;0.0020;0.0816;0.0024;0.2234;0.0811;0.1373;0.0753;0.0024;0.1134;0.0034;0.0044;0.0821;0.0723;0.2615;0.1989;0.2219;0.1950;0.0049;0.1672;0.1676;0.0039;0.0049;0.0068;0.1799;0.0034;0.1877;0.0054;0.3881;0.2009;0.2542;0.1887;0.0039;0.2111;0.0054;0.0059;0.1838;0.1706;0.602;0.592;0.441;0.612;0.000;0.541;0.586;0.000;0.000;0.000;0.500;0.000;0.565;0.000;0.424;0.596;0.460;0.601;0.000;0.463;0.000;0.000;0.553;0.576;
04.09.20;11:27:11;4;0;0.1026;0.0816;0.1241;0.0767;0.0024;0.0772;0.0684;0.0029;0.0024;0.0049;0.0904;0.0020;0.0811;0.0029;0.2243;0.0802;0.1388;0.0753;0.0024;0.1144;0.0039;0.0049;0.0816;0.0723;0.2590;0.2033;0.2219;0.1965;0.0044;0.1652;0.1652;0.0039;0.0039;0.0054;0.1823;0.0039;0.1867;0.0049;0.3856;0.1984;0.2566;0.1887;0.0044;0.2107;0.0054;0.0068;0.1838;0.1701;0.604;0.599;0.441;0.609;0.000;0.533;0.586;0.000;0.000;0.000;0.504;0.000;0.565;0.000;0.418;0.596;0.459;0.601;0.000;0.457;0.000;0.000;0.556;0.575;
04.09.20;11:28:12;5;0;0.1017;0.0816;0.1227;0.0782;0.0024;0.0777;0.0689;0.0029;0.0024;0.0044;0.0929;0.0020;0.0816;0.0024;0.2248;0.0802;0.1388;0.0743;0.0024;0.1144;0.0034;0.0049;0.0816;0.0709;0.2542;0.2023;0.2195;0.2004;0.0039;0.1662;0.1647;0.0044;0.0044;0.0068;0.1848;0.0044;0.1848;0.0044;0.3851;0.1960;0.2556;0.1852;0.0039;0.2131;0.0049;0.0054;0.1833;0.1662;0.600;0.597;0.441;0.610;0.000;0.532;0.582;0.000;0.000;0.000;0.497;0.000;0.558;0.000;0.416;0.591;0.457;0.599;0.000;0.463;0.000;0.000;0.555;0.574;
