Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
31.08.20;11:49:38;1;0;0.0665;0.1153;0.1427;0.0836;0.0020;0.0689;0.1320;0.0821;0.1134;0.1134;0.0938;0.0679;0.0679;0.0963;0.1227;0.0029;0.0044;0.1007;0.0034;0.1188;0.0987;0.1114;0.1002;0.0904;0.1691;0.2146;0.2551;0.2092;0.0039;0.1711;0.2630;0.2082;0.2107;0.2356;0.2884;0.1931;0.1784;0.2542;0.2185;0.0054;0.0068;0.2283;0.0049;0.2243;0.2009;0.2361;0.2429;0.1603;0.607;0.462;0.441;0.600;0.000;0.597;0.498;0.606;0.462;0.519;0.675;0.648;0.619;0.621;0.438;0.000;0.000;0.559;0.000;0.471;0.509;0.528;0.588;0.436;
31.08.20;11:49:55;2;0;0.0714;0.1285;0.1588;0.0909;0.0024;0.0743;0.1466;0.0890;0.1266;0.1251;0.1070;0.0772;0.0772;0.1085;0.1354;0.0034;0.0049;0.1134;0.0034;0.1329;0.1090;0.1261;0.1129;0.0997;0.1672;0.2116;0.2507;0.2058;0.0034;0.1696;0.2581;0.2077;0.2053;0.2346;0.2903;0.1896;0.1774;0.2556;0.2121;0.0049;0.0064;0.2219;0.0049;0.2199;0.1989;0.2336;0.2385;0.1588;0.573;0.393;0.366;0.558;0.000;0.562;0.432;0.572;0.383;0.467;0.631;0.593;0.565;0.576;0.362;0.000;0.000;0.489;0.000;0.396;0.452;0.460;0.527;0.372;
31.08.20;11:50:56;3;0;0.0679;0.1193;0.1476;0.0865;0.0024;0.0704;0.1349;0.0850;0.1178;0.1173;0.0997;0.0699;0.0718;0.1012;0.1256;0.0024;0.0054;0.1075;0.0034;0.1237;0.1041;0.1163;0.1036;0.0929;0.1681;0.2087;0.2493;0.2028;0.0039;0.1696;0.2556;0.2058;0.2063;0.2302;0.2864;0.1906;0.1794;0.2498;0.2116;0.0044;0.0068;0.2239;0.0044;0.2195;0.2014;0.2307;0.2419;0.1588;0.596;0.429;0.408;0.573;0.000;0.585;0.472;0.587;0.429;0.490;0.652;0.633;0.599;0.595;0.406;0.000;0.000;0.520;0.000;0.437;0.483;0.496;0.572;0.415;
31.08.20;11:51:57;4;0;0.0689;0.1197;0.1486;0.0860;0.0024;0.0714;0.1369;0.0855;0.1183;0.1173;0.1002;0.0709;0.0718;0.1007;0.1256;0.0029;0.0049;0.1056;0.0034;0.1237;0.1041;0.1163;0.1036;0.0934;0.1686;0.2087;0.2483;0.2028;0.0049;0.1701;0.2561;0.2067;0.2058;0.2302;0.2869;0.1901;0.1808;0.2527;0.2121;0.0049;0.0073;0.2219;0.0044;0.2175;0.1999;0.2317;0.2395;0.1579;0.591;0.426;0.402;0.576;0.000;0.580;0.466;0.586;0.425;0.490;0.651;0.627;0.603;0.602;0.408;0.000;0.000;0.524;0.000;0.431;0.479;0.498;0.567;0.409;
31.08.20;11:52:57;5;0;0.0689;0.1197;0.1476;0.0846;0.0024;0.0714;0.1373;0.0865;0.1197;0.1173;0.0992;0.0714;0.0728;0.1017;0.1251;0.0024;0.0054;0.1051;0.0029;0.1246;0.1041;0.1168;0.1036;0.0929;0.1681;0.2077;0.2454;0.2014;0.0034;0.1701;0.2581;0.2082;0.2077;0.2292;0.2874;0.1921;0.1799;0.2512;0.2107;0.0049;0.0064;0.2219;0.0039;0.2175;0.2004;0.2331;0.2390;0.1588;0.590;0.424;0.398;0.580;0.000;0.580;0.468;0.585;0.424;0.488;0.655;0.628;0.595;0.595;0.406;0.000;0.000;0.526;0.000;0.427;0.480;0.499;0.566;0.415;
