Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
01.09.20;11:34:00;1;0;0.0039;0.0938;0.0044;0.0831;0.1251;0.0029;0.0650;0.0024;0.0029;0.0039;0.1427;0.1178;0.0034;0.1706;0.0885;0.1500;0.1486;0.1031;0.0684;0.0860;0.1222;0.1090;0.0860;0.0024;0.0054;0.1764;0.0068;0.1848;0.2155;0.0039;0.1647;0.0039;0.0044;0.0064;0.2483;0.2136;0.0064;0.2683;0.2121;0.2546;0.2634;0.2087;0.1852;0.1701;0.1940;0.1940;0.1931;0.0029;0.000;0.468;0.000;0.550;0.420;0.000;0.605;0.000;0.000;0.000;0.425;0.449;0.000;0.364;0.583;0.411;0.436;0.506;0.631;0.494;0.370;0.438;0.554;0.000;
01.09.20;11:35:04;2;0;0.0039;0.0978;0.0049;0.0846;0.1285;0.0029;0.0684;0.0024;0.0029;0.0044;0.1466;0.1178;0.0034;0.1750;0.0904;0.1535;0.1544;0.1051;0.0723;0.0885;0.1256;0.1095;0.0885;0.0024;0.0059;0.1760;0.0064;0.1808;0.2111;0.0044;0.1667;0.0039;0.0054;0.0049;0.2444;0.2067;0.0054;0.2654;0.2116;0.2478;0.2600;0.2053;0.1867;0.1720;0.1931;0.1882;0.1887;0.0034;0.000;0.444;0.000;0.532;0.391;0.000;0.589;0.000;0.000;0.000;0.400;0.430;0.000;0.341;0.573;0.381;0.406;0.488;0.613;0.486;0.349;0.418;0.531;0.000;
01.09.20;11:36:05;3;0;0.0034;0.0973;0.0049;0.0841;0.1276;0.0020;0.0694;0.0024;0.0034;0.0039;0.1466;0.1173;0.0034;0.1760;0.0909;0.1520;0.1515;0.1056;0.0723;0.0880;0.1251;0.1105;0.0880;0.0024;0.0059;0.1760;0.0059;0.1784;0.2107;0.0044;0.1686;0.0044;0.0054;0.0059;0.2410;0.2063;0.0049;0.2630;0.2121;0.2473;0.2551;0.2038;0.1877;0.1711;0.1911;0.1872;0.1872;0.0039;0.000;0.447;0.000;0.529;0.394;0.000;0.588;0.000;0.000;0.000;0.391;0.431;0.000;0.331;0.571;0.385;0.406;0.482;0.615;0.486;0.345;0.410;0.530;0.000;
01.09.20;11:37:05;4;0;0.0039;0.0973;0.0049;0.0841;0.1281;0.0020;0.0689;0.0024;0.0029;0.0039;0.1466;0.1197;0.0029;0.1755;0.0899;0.1525;0.1515;0.1065;0.0728;0.0880;0.1251;0.1114;0.0890;0.0020;0.0049;0.1735;0.0064;0.1769;0.2087;0.0034;0.1672;0.0039;0.0049;0.0059;0.2405;0.2092;0.0059;0.2659;0.2102;0.2454;0.2532;0.2019;0.1852;0.1672;0.1916;0.1882;0.1887;0.0039;0.000;0.439;0.000;0.525;0.386;0.000;0.588;0.000;0.000;0.000;0.390;0.428;0.000;0.340;0.572;0.378;0.402;0.472;0.607;0.474;0.347;0.408;0.528;0.000;
01.09.20;11:38:06;5;0;0.0039;0.0958;0.0049;0.0841;0.1276;0.0020;0.0694;0.0024;0.0029;0.0049;0.1471;0.1193;0.0029;0.1779;0.0904;0.1520;0.1500;0.1070;0.0738;0.0860;0.1251;0.1114;0.0890;0.0024;0.0059;0.1706;0.0059;0.1769;0.2072;0.0029;0.1681;0.0034;0.0044;0.0054;0.2390;0.2097;0.0049;0.2669;0.2082;0.2439;0.2493;0.2053;0.1862;0.1652;0.1891;0.1887;0.1877;0.0044;0.000;0.438;0.000;0.525;0.384;0.000;0.587;0.000;0.000;0.000;0.384;0.431;0.000;0.333;0.566;0.377;0.398;0.479;0.604;0.479;0.339;0.409;0.526;0.000;
