Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
03.09.20;11:38:46;1;0;0.0938;0.1065;0.0850;0.1241;0.1530;0.0024;0.0630;0.1149;0.1149;0.0909;0.1373;0.0020;0.0997;0.0034;0.0024;0.0024;0.0997;0.0577;0.0650;0.0024;0.0029;0.0689;0.1325;0.0020;0.1926;0.2111;0.2028;0.2356;0.2796;0.0039;0.1544;0.2375;0.2273;0.2322;0.3592;0.0039;0.2165;0.0059;0.0034;0.0044;0.2102;0.1461;0.1554;0.0054;0.0044;0.1730;0.2419;0.0044;0.513;0.495;0.581;0.473;0.453;0.000;0.592;0.516;0.495;0.608;0.618;0.000;0.540;0.000;0.000;0.000;0.526;0.605;0.582;0.000;0.000;0.602;0.453;0.000;
03.09.20;11:40:01;2;0;0.0958;0.1100;0.0875;0.1222;0.1569;0.0020;0.0645;0.1168;0.1173;0.0938;0.1398;0.0020;0.0992;0.0029;0.0024;0.0029;0.1031;0.0577;0.0655;0.0020;0.0034;0.0689;0.1349;0.0020;0.1921;0.2102;0.2033;0.2312;0.2781;0.0039;0.1544;0.2356;0.2248;0.2326;0.3597;0.0034;0.2126;0.0044;0.0044;0.0049;0.2111;0.1437;0.1525;0.0039;0.0049;0.1706;0.2429;0.0049;0.501;0.477;0.570;0.471;0.436;0.000;0.582;0.504;0.478;0.597;0.611;0.000;0.533;0.000;0.000;0.000;0.512;0.599;0.571;0.000;0.000;0.596;0.445;0.000;
03.09.20;11:41:02;3;0;0.0963;0.1114;0.0885;0.1232;0.1584;0.0020;0.0660;0.1173;0.1193;0.0938;0.1378;0.0020;0.0992;0.0034;0.0029;0.0024;0.1041;0.0587;0.0665;0.0020;0.0034;0.0714;0.1369;0.0024;0.1887;0.2087;0.2004;0.2287;0.2776;0.0034;0.1564;0.2331;0.2258;0.2292;0.3509;0.0034;0.2102;0.0054;0.0044;0.0044;0.2107;0.1452;0.1525;0.0044;0.0054;0.1764;0.2419;0.0039;0.490;0.466;0.559;0.462;0.430;0.000;0.578;0.497;0.472;0.591;0.607;0.000;0.528;0.000;0.000;0.000;0.506;0.596;0.564;0.000;0.000;0.596;0.434;0.000;
03.09.20;11:42:03;4;0;0.0963;0.1124;0.0875;0.1227;0.1588;0.0020;0.0670;0.1188;0.1207;0.0938;0.1378;0.0020;0.1002;0.0029;0.0024;0.0029;0.1026;0.0591;0.0674;0.0020;0.0034;0.0733;0.1364;0.0024;0.1887;0.2092;0.1975;0.2292;0.2742;0.0039;0.1569;0.2380;0.2268;0.2312;0.3519;0.0044;0.2102;0.0059;0.0044;0.0044;0.2087;0.1452;0.1544;0.0044;0.0039;0.1808;0.2390;0.0044;0.490;0.463;0.557;0.465;0.421;0.000;0.573;0.501;0.468;0.594;0.608;0.000;0.523;0.000;0.000;0.000;0.508;0.593;0.563;0.000;0.000;0.595;0.429;0.000;
03.09.20;11:43:03;5;0;0.0958;0.1139;0.0855;0.1241;0.1584;0.0020;0.0679;0.1188;0.1207;0.0938;0.1388;0.0020;0.1002;0.0034;0.0020;0.0024;0.1036;0.0596;0.0679;0.0024;0.0034;0.0748;0.1364;0.0029;0.1887;0.2097;0.1945;0.2302;0.2747;0.0044;0.1579;0.2356;0.2243;0.2283;0.3539;0.0039;0.2097;0.0054;0.0054;0.0049;0.2063;0.1447;0.1564;0.0044;0.0059;0.1818;0.2380;0.0054;0.492;0.457;0.560;0.461;0.423;0.000;0.570;0.496;0.462;0.589;0.608;0.000;0.522;0.000;0.000;0.000;0.498;0.588;0.566;0.000;0.000;0.589;0.427;0.000;
03.09.20;11:44:04;6;0;0.0953;0.1139;0.0860;0.1241;0.1579;0.0020;0.0674;0.1193;0.1207;0.0948;0.1388;0.0020;0.1007;0.0029;0.0024;0.0024;0.1026;0.0601;0.0679;0.0024;0.0034;0.0743;0.1373;0.0020;0.1872;0.2107;0.1940;0.2278;0.2752;0.0044;0.1569;0.2361;0.2239;0.2287;0.3509;0.0034;0.2116;0.0049;0.0044;0.0039;0.2048;0.1442;0.1564;0.0044;0.0059;0.1823;0.2385;0.0044;0.491;0.459;0.557;0.455;0.426;0.000;0.570;0.495;0.461;0.585;0.604;0.000;0.524;0.000;0.000;0.000;0.499;0.583;0.566;0.000;0.000;0.592;0.424;0.000;
03.09.20;11:45:05;7;0;0.0953;0.1158;0.0850;0.1261;0.1593;0.0020;0.0674;0.1202;0.1193;0.0943;0.1398;0.0020;0.1017;0.0034;0.0024;0.0029;0.1012;0.0596;0.0684;0.0020;0.0034;0.0743;0.1359;0.0020;0.1872;0.2121;0.1906;0.2312;0.2722;0.0044;0.1549;0.2375;0.2204;0.2278;0.3553;0.0034;0.2141;0.0054;0.0049;0.0039;0.1999;0.1437;0.1549;0.0044;0.0049;0.1808;0.2375;0.0044;0.491;0.454;0.554;0.455;0.415;0.000;0.565;0.494;0.459;0.586;0.607;0.000;0.525;0.000;0.000;0.000;0.494;0.585;0.558;0.000;0.000;0.589;0.428;0.000;
