Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
05.09.20;10:19:43;1;0;0.0860;0.0704;0.1144;0.0777;0.0024;0.0665;0.0650;0.0024;0.0054;0.0044;0.0865;0.0024;0.0753;0.0044;0.1662;0.0728;0.1197;0.0723;0.0024;0.1012;0.0024;0.0034;0.0728;0.0758;0.2214;0.1808;0.2209;0.2077;0.0029;0.1535;0.1696;0.0049;0.0068;0.0049;0.1867;0.0044;0.1750;0.0049;0.3162;0.1843;0.2341;0.1965;0.0054;0.1955;0.0044;0.0054;0.1784;0.1979;0.611;0.611;0.482;0.626;0.000;0.567;0.617;0.000;0.000;0.000;0.537;0.000;0.570;0.000;0.474;0.605;0.489;0.632;0.000;0.482;0.000;0.000;0.592;0.617;
05.09.20;10:20:44;2;0;0.0885;0.0709;0.1178;0.0811;0.0020;0.0704;0.0660;0.0024;0.0064;0.0044;0.0909;0.0024;0.0772;0.0044;0.1745;0.0738;0.1251;0.0753;0.0024;0.1051;0.0024;0.0029;0.0748;0.0797;0.2160;0.1760;0.2180;0.2043;0.0029;0.1525;0.1642;0.0044;0.0064;0.0059;0.1872;0.0049;0.1740;0.0054;0.3157;0.1799;0.2351;0.1970;0.0039;0.1935;0.0049;0.0039;0.1774;0.1970;0.590;0.597;0.460;0.603;0.000;0.538;0.598;0.000;0.000;0.000;0.514;0.000;0.556;0.000;0.447;0.590;0.468;0.618;0.000;0.457;0.000;0.000;0.579;0.596;
05.09.20;10:21:45;3;0;0.0880;0.0704;0.1193;0.0816;0.0024;0.0718;0.0655;0.0024;0.0059;0.0044;0.0904;0.0024;0.0772;0.0044;0.1750;0.0733;0.1256;0.0748;0.0029;0.1056;0.0024;0.0029;0.0738;0.0811;0.2141;0.1701;0.2209;0.2092;0.0024;0.1554;0.1657;0.0049;0.0068;0.0059;0.1852;0.0049;0.1755;0.0064;0.3167;0.1784;0.2361;0.1931;0.0039;0.1955;0.0039;0.0044;0.1808;0.1994;0.589;0.586;0.460;0.610;0.000;0.538;0.605;0.000;0.000;0.000;0.512;0.000;0.560;0.000;0.448;0.589;0.468;0.613;0.000;0.460;0.000;0.000;0.592;0.593;
05.09.20;10:22:46;4;0;0.0865;0.0709;0.1217;0.0831;0.0024;0.0714;0.0665;0.0029;0.0059;0.0049;0.0909;0.0020;0.0777;0.0044;0.1764;0.0728;0.1256;0.0758;0.0020;0.1061;0.0024;0.0029;0.0758;0.0816;0.2141;0.1730;0.2224;0.2097;0.0029;0.1530;0.1642;0.0034;0.0068;0.0064;0.1862;0.0049;0.1755;0.0068;0.3172;0.1784;0.2375;0.1945;0.0049;0.1940;0.0039;0.0059;0.1799;0.1999;0.596;0.590;0.453;0.604;0.000;0.534;0.595;0.000;0.000;0.000;0.512;0.000;0.557;0.000;0.444;0.592;0.471;0.611;0.000;0.453;0.000;0.000;0.579;0.592;
05.09.20;10:23:49;5;0;0.0899;0.0709;0.1241;0.0831;0.0024;0.0714;0.0655;0.0024;0.0054;0.0049;0.0894;0.0024;0.0767;0.0044;0.1769;0.0743;0.1266;0.0758;0.0020;0.1061;0.0024;0.0029;0.0772;0.0826;0.2199;0.1735;0.2258;0.2087;0.0034;0.1510;0.1672;0.0044;0.0068;0.0068;0.1828;0.0044;0.1725;0.0064;0.3167;0.1784;0.2341;0.1950;0.0039;0.1945;0.0039;0.0054;0.1818;0.2019;0.591;0.592;0.450;0.602;0.000;0.528;0.608;0.000;0.000;0.000;0.511;0.000;0.555;0.000;0.441;0.584;0.459;0.612;0.000;0.455;0.000;0.000;0.575;0.591;
