Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
04.09.20;11:31:55;1;0;0.0660;0.0694;0.0870;0.1325;0.0029;0.0587;0.0924;0.1153;0.0914;0.0885;0.0743;0.1183;0.0665;0.0029;0.1794;0.0024;0.0034;0.0674;0.0992;0.0665;0.0782;0.0802;0.0728;0.0024;0.1637;0.1686;0.2092;0.2571;0.0049;0.1535;0.1755;0.2346;0.2258;0.1989;0.2146;0.2063;0.1896;0.0044;0.3201;0.0049;0.0049;0.1716;0.1935;0.1799;0.1618;0.2028;0.1979;0.0039;0.597;0.588;0.584;0.485;0.000;0.618;0.474;0.508;0.595;0.555;0.654;0.427;0.649;0.000;0.440;0.000;0.000;0.607;0.487;0.630;0.517;0.605;0.632;0.000;
04.09.20;11:33:18;2;0;0.0679;0.0714;0.0890;0.1364;0.0024;0.0601;0.0953;0.1183;0.0934;0.0894;0.0767;0.1193;0.0684;0.0029;0.1833;0.0029;0.0029;0.0679;0.1022;0.0684;0.0792;0.0811;0.0753;0.0024;0.1652;0.1706;0.2097;0.2561;0.0044;0.1540;0.1755;0.2326;0.2268;0.1975;0.2146;0.2028;0.1916;0.0039;0.3182;0.0049;0.0059;0.1711;0.1940;0.1784;0.1618;0.2033;0.1984;0.0049;0.589;0.582;0.576;0.468;0.000;0.610;0.457;0.492;0.588;0.547;0.642;0.412;0.643;0.000;0.424;0.000;0.000;0.603;0.474;0.616;0.511;0.601;0.621;0.000;
04.09.20;11:34:19;3;0;0.0694;0.0733;0.0894;0.1373;0.0024;0.0596;0.0963;0.1188;0.0948;0.0914;0.0767;0.1237;0.0689;0.0024;0.1857;0.0029;0.0034;0.0689;0.1022;0.0704;0.0792;0.0816;0.0762;0.0024;0.1642;0.1711;0.2063;0.2522;0.0044;0.1496;0.1725;0.2307;0.2278;0.1975;0.2151;0.2067;0.1921;0.0049;0.3148;0.0059;0.0049;0.1716;0.1921;0.1789;0.1637;0.2009;0.1994;0.0054;0.577;0.571;0.566;0.455;0.000;0.601;0.442;0.485;0.584;0.537;0.643;0.402;0.641;0.000;0.410;0.000;0.000;0.598;0.468;0.607;0.516;0.594;0.618;0.000;
04.09.20;11:35:20;4;0;0.0689;0.0738;0.0890;0.1373;0.0024;0.0587;0.0968;0.1202;0.0948;0.0909;0.0777;0.1251;0.0704;0.0024;0.1862;0.0024;0.0039;0.0699;0.1017;0.0704;0.0787;0.0821;0.0762;0.0029;0.1637;0.1711;0.2072;0.2512;0.0049;0.1496;0.1740;0.2312;0.2268;0.1960;0.2151;0.2087;0.1921;0.0049;0.3148;0.0054;0.0064;0.1720;0.1887;0.1804;0.1593;0.2019;0.2014;0.0044;0.579;0.569;0.571;0.453;0.000;0.608;0.444;0.480;0.582;0.536;0.639;0.400;0.634;0.000;0.408;0.000;0.000;0.594;0.461;0.610;0.506;0.593;0.621;0.000;
04.09.20;11:36:21;5;0;0.0684;0.0723;0.0865;0.1359;0.0024;0.0587;0.0978;0.1197;0.0948;0.0904;0.0782;0.1256;0.0709;0.0029;0.1857;0.0034;0.0034;0.0694;0.1017;0.0699;0.0787;0.0821;0.0748;0.0020;0.1632;0.1662;0.1994;0.2473;0.0049;0.1500;0.1740;0.2297;0.2248;0.1979;0.2151;0.2092;0.1940;0.0049;0.3113;0.0039;0.0049;0.1720;0.1867;0.1789;0.1623;0.1999;0.1955;0.0044;0.581;0.565;0.566;0.451;0.000;0.609;0.438;0.479;0.578;0.543;0.636;0.400;0.635;0.000;0.403;0.000;0.000;0.597;0.455;0.609;0.515;0.589;0.618;0.000;
