Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
31.08.20;12:15:06;1;0;0.0748;0.1129;0.1036;0.0020;0.0968;0.0802;0.1017;0.1197;0.1095;0.0029;0.1281;0.0024;0.0797;0.1364;0.1413;0.1500;0.1486;0.0024;0.0567;0.0899;0.0777;0.0894;0.1031;0.1036;0.1579;0.2405;0.1906;0.0044;0.2141;0.1618;0.2067;0.2229;0.2664;0.0049;0.3548;0.0039;0.1989;0.2522;0.2757;0.2786;0.2796;0.0049;0.1676;0.2419;0.2121;0.2243;0.2610;0.2082;0.526;0.530;0.456;0.000;0.548;0.505;0.508;0.463;0.589;0.000;0.639;0.000;0.600;0.459;0.488;0.461;0.469;0.000;0.662;0.628;0.634;0.601;0.605;0.502;
31.08.20;12:15:18;2;0;0.0816;0.1281;0.1158;0.0024;0.1041;0.0890;0.1119;0.1344;0.1246;0.0034;0.1471;0.0024;0.0914;0.1525;0.1549;0.1676;0.1662;0.0024;0.0670;0.1046;0.0899;0.1041;0.1129;0.1183;0.1540;0.2370;0.1891;0.0054;0.2072;0.1603;0.2033;0.2214;0.2674;0.0059;0.3534;0.0044;0.1965;0.2537;0.2752;0.2742;0.2776;0.0039;0.1672;0.2429;0.2151;0.2219;0.2615;0.2087;0.470;0.460;0.388;0.000;0.498;0.445;0.450;0.393;0.534;0.000;0.584;0.000;0.535;0.399;0.437;0.389;0.401;0.000;0.599;0.569;0.582;0.531;0.568;0.433;
31.08.20;12:16:19;3;0;0.0738;0.1168;0.1061;0.0020;0.0987;0.0821;0.1017;0.1212;0.1139;0.0029;0.1315;0.0024;0.0811;0.1383;0.1437;0.1510;0.1452;0.0020;0.0582;0.0934;0.0831;0.0914;0.1026;0.1051;0.1486;0.2395;0.1896;0.0039;0.2121;0.1588;0.2023;0.2199;0.2703;0.0054;0.3534;0.0044;0.1950;0.2517;0.2752;0.2737;0.2659;0.0049;0.1637;0.2419;0.2185;0.2209;0.2590;0.2053;0.503;0.512;0.441;0.000;0.535;0.483;0.498;0.449;0.579;0.000;0.628;0.000;0.584;0.450;0.478;0.448;0.454;0.000;0.645;0.614;0.620;0.586;0.604;0.488;
31.08.20;12:17:21;4;0;0.0738;0.1173;0.1061;0.0020;0.0978;0.0811;0.1012;0.1227;0.1134;0.0034;0.1315;0.0020;0.0816;0.1398;0.1432;0.1525;0.1481;0.0020;0.0587;0.0929;0.0846;0.0914;0.1041;0.1056;0.1505;0.2405;0.1887;0.0049;0.2077;0.1569;0.2004;0.2219;0.2713;0.0059;0.3543;0.0044;0.1940;0.2507;0.2722;0.2713;0.2708;0.0049;0.1647;0.2424;0.2243;0.2204;0.2595;0.2067;0.510;0.512;0.438;0.000;0.529;0.483;0.495;0.447;0.582;0.000;0.629;0.000;0.579;0.442;0.474;0.438;0.453;0.000;0.644;0.617;0.623;0.585;0.599;0.489;
31.08.20;12:18:22;5;0;0.0743;0.1173;0.1070;0.0024;0.0982;0.0806;0.0997;0.1227;0.1139;0.0029;0.1320;0.0020;0.0811;0.1403;0.1432;0.1510;0.1481;0.0024;0.0591;0.0934;0.0850;0.0919;0.1036;0.1061;0.1496;0.2375;0.1911;0.0044;0.2072;0.1554;0.1989;0.2204;0.2703;0.0049;0.3558;0.0049;0.1916;0.2522;0.2683;0.2713;0.2717;0.0049;0.1667;0.2424;0.2248;0.2199;0.2581;0.2063;0.503;0.506;0.440;0.000;0.526;0.481;0.499;0.443;0.579;0.000;0.629;0.000;0.577;0.444;0.466;0.443;0.455;0.000;0.645;0.615;0.622;0.582;0.598;0.486;
