Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
02.09.20;11:11:51;1;0;0.1373;0.1134;0.1403;0.0718;0.0802;0.1061;0.1051;0.0919;0.1246;0.0059;0.1022;0.0611;0.0694;0.0865;0.1637;0.1153;0.0865;0.1017;0.0772;0.0020;0.0039;0.1256;0.0865;0.0547;0.2278;0.2009;0.2732;0.1706;0.1994;0.1896;0.1887;0.1970;0.2292;0.0068;0.1940;0.1672;0.1779;0.2082;0.2835;0.2199;0.2380;0.2019;0.1403;0.0049;0.0054;0.2502;0.2155;0.1320;0.397;0.436;0.487;0.579;0.598;0.441;0.443;0.533;0.456;0.000;0.474;0.635;0.610;0.585;0.422;0.476;0.637;0.496;0.449;0.000;0.000;0.498;0.599;0.585;
02.09.20;11:12:56;2;0;0.1398;0.1163;0.1447;0.0738;0.0846;0.1070;0.1080;0.0948;0.1281;0.0054;0.1041;0.0640;0.0684;0.0885;0.1681;0.1183;0.0899;0.1036;0.0797;0.0024;0.0034;0.1271;0.0880;0.0547;0.2248;0.2019;0.2761;0.1750;0.2067;0.1862;0.1882;0.2004;0.2273;0.0068;0.1945;0.1691;0.1735;0.2067;0.2825;0.2209;0.2366;0.1989;0.1403;0.0049;0.0049;0.2488;0.2121;0.1325;0.378;0.424;0.476;0.578;0.591;0.425;0.426;0.527;0.437;0.000;0.465;0.621;0.606;0.572;0.405;0.465;0.620;0.479;0.432;0.000;0.000;0.489;0.585;0.587;
02.09.20;11:13:57;3;0;0.1403;0.1178;0.1466;0.0753;0.0846;0.1070;0.1095;0.0968;0.1285;0.0054;0.1051;0.0635;0.0694;0.0890;0.1681;0.1197;0.0894;0.1056;0.0797;0.0020;0.0039;0.1276;0.0880;0.0543;0.2273;0.2019;0.2766;0.1784;0.2077;0.1867;0.1877;0.2048;0.2273;0.0068;0.1955;0.1706;0.1701;0.2107;0.2805;0.2204;0.2380;0.2019;0.1413;0.0034;0.0054;0.2483;0.2116;0.1305;0.383;0.416;0.470;0.578;0.593;0.427;0.417;0.527;0.434;0.000;0.463;0.628;0.592;0.578;0.401;0.457;0.624;0.477;0.436;0.000;0.000;0.486;0.584;0.584;
02.09.20;11:14:58;4;0;0.1398;0.1168;0.1476;0.0772;0.0846;0.1080;0.1085;0.0948;0.1305;0.0054;0.1070;0.0630;0.0709;0.0899;0.1652;0.1202;0.0904;0.1056;0.0797;0.0024;0.0039;0.1281;0.0880;0.0552;0.2234;0.2009;0.2781;0.1804;0.2043;0.1867;0.1887;0.2019;0.2287;0.0064;0.1950;0.1676;0.1750;0.2111;0.2732;0.2224;0.2395;0.2023;0.1393;0.0044;0.0054;0.2449;0.2116;0.1310;0.374;0.418;0.469;0.572;0.586;0.421;0.425;0.530;0.429;0.000;0.451;0.624;0.595;0.574;0.395;0.459;0.622;0.478;0.428;0.000;0.000;0.477;0.584;0.578;
02.09.20;11:15:58;5;0;0.1403;0.1173;0.1486;0.0772;0.0846;0.1080;0.1105;0.0958;0.1305;0.0054;0.1075;0.0626;0.0709;0.0904;0.1652;0.1207;0.0904;0.1061;0.0806;0.0024;0.0034;0.1276;0.0890;0.0557;0.2224;0.2014;0.2796;0.1808;0.2058;0.1872;0.1916;0.2033;0.2287;0.0068;0.1960;0.1652;0.1760;0.2126;0.2717;0.2214;0.2385;0.2009;0.1408;0.0034;0.0044;0.2454;0.2136;0.1320;0.369;0.417;0.469;0.573;0.589;0.423;0.423;0.529;0.429;0.000;0.451;0.621;0.597;0.575;0.392;0.455;0.621;0.472;0.427;0.000;0.000;0.480;0.584;0.578;
