Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
05.09.20;10:12:50;1;0;0.0836;0.1144;0.1061;0.1207;0.0024;0.0660;0.0670;0.0024;0.1632;0.1168;0.1056;0.0718;0.0029;0.0049;0.1373;0.0973;0.1022;0.0020;0.0850;0.1173;0.0029;0.0616;0.0934;0.0689;0.1750;0.2107;0.2131;0.2121;0.0024;0.1574;0.1843;0.0044;0.3133;0.2297;0.1921;0.2033;0.0044;0.0064;0.2551;0.2160;0.2107;0.0049;0.1740;0.2346;0.0044;0.1637;0.2419;0.1618;0.522;0.457;0.502;0.431;0.000;0.581;0.637;0.000;0.479;0.491;0.450;0.647;0.000;0.000;0.462;0.550;0.515;0.000;0.511;0.500;0.000;0.624;0.614;0.574;
05.09.20;10:13:44;2;0;0.0875;0.1193;0.1144;0.1261;0.0020;0.0665;0.0684;0.0024;0.1701;0.1222;0.1109;0.0758;0.0029;0.0049;0.1471;0.1022;0.1061;0.0024;0.0880;0.1207;0.0029;0.0640;0.0982;0.0709;0.1730;0.2102;0.2160;0.2131;0.0039;0.1564;0.1818;0.0044;0.3104;0.2273;0.1921;0.2023;0.0044;0.0073;0.2615;0.2160;0.2087;0.0044;0.1716;0.2336;0.0039;0.1637;0.2405;0.1613;0.494;0.433;0.471;0.408;0.000;0.575;0.624;0.000;0.452;0.462;0.422;0.626;0.000;0.000;0.437;0.527;0.492;0.000;0.487;0.483;0.000;0.609;0.591;0.561;
05.09.20;10:14:45;3;0;0.0880;0.1193;0.1144;0.1256;0.0024;0.0660;0.0709;0.0024;0.1681;0.1197;0.1095;0.0748;0.0024;0.0049;0.1496;0.1022;0.1095;0.0024;0.0875;0.1222;0.0029;0.0650;0.0963;0.0714;0.1750;0.2102;0.2170;0.2141;0.0029;0.1540;0.1901;0.0034;0.3045;0.2224;0.1877;0.2033;0.0044;0.0059;0.2664;0.2170;0.2160;0.0049;0.1735;0.2346;0.0044;0.1681;0.2375;0.1632;0.497;0.433;0.473;0.413;0.000;0.571;0.627;0.000;0.448;0.462;0.417;0.632;0.000;0.000;0.439;0.529;0.493;0.000;0.496;0.479;0.000;0.613;0.595;0.563;
05.09.20;10:15:46;4;0;0.0885;0.1193;0.1134;0.1261;0.0020;0.0670;0.0718;0.0029;0.1686;0.1178;0.1114;0.0758;0.0024;0.0039;0.1500;0.1017;0.1095;0.0020;0.0894;0.1222;0.0029;0.0655;0.0982;0.0723;0.1745;0.2092;0.2136;0.2126;0.0024;0.1559;0.1935;0.0044;0.3040;0.2170;0.1916;0.2028;0.0049;0.0059;0.2634;0.2151;0.2141;0.0049;0.1745;0.2351;0.0049;0.1667;0.2410;0.1632;0.493;0.430;0.469;0.407;0.000;0.571;0.629;0.000;0.445;0.457;0.418;0.627;0.000;0.000;0.430;0.527;0.489;0.000;0.487;0.480;0.000;0.607;0.592;0.557;
05.09.20;10:16:47;5;0;0.0885;0.1207;0.1139;0.1261;0.0024;0.0660;0.0728;0.0024;0.1672;0.1173;0.1105;0.0762;0.0029;0.0044;0.1544;0.1026;0.1105;0.0015;0.0904;0.1227;0.0029;0.0660;0.0987;0.0728;0.1730;0.2102;0.2146;0.2131;0.0029;0.1544;0.1950;0.0039;0.3040;0.2180;0.1887;0.2043;0.0039;0.0068;0.2713;0.2175;0.2141;0.0044;0.1769;0.2312;0.0039;0.1681;0.2405;0.1647;0.489;0.426;0.469;0.408;0.000;0.573;0.627;0.000;0.450;0.462;0.415;0.627;0.000;0.000;0.431;0.528;0.484;0.000;0.489;0.469;0.000;0.608;0.589;0.558;
