Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
01.09.20;11:11:58;1;0;0.0049;0.0860;0.0064;0.0826;0.0929;0.0894;0.0826;0.1505;0.0929;0.0039;0.1124;0.1070;0.0039;0.0831;0.1119;0.0865;0.1290;0.0753;0.0709;0.1153;0.0748;0.1207;0.0787;0.0626;0.0068;0.1574;0.0073;0.1696;0.2234;0.1711;0.1911;0.2458;0.2283;0.0064;0.2444;0.1872;0.0064;0.1872;0.2067;0.2204;0.2527;0.1862;0.1647;0.2072;0.2155;0.2405;0.1799;0.1588;0.000;0.453;0.000;0.513;0.584;0.477;0.568;0.388;0.593;0.000;0.540;0.428;0.000;0.556;0.459;0.608;0.489;0.596;0.570;0.443;0.653;0.498;0.563;0.606;
01.09.20;11:12:32;2;0;0.0049;0.0890;0.0059;0.0880;0.0963;0.0938;0.0885;0.1579;0.0978;0.0034;0.1163;0.1129;0.0039;0.0875;0.1144;0.0914;0.1349;0.0797;0.0758;0.1207;0.0797;0.1276;0.0836;0.0635;0.0059;0.1520;0.0068;0.1711;0.2199;0.1676;0.1896;0.2429;0.2287;0.0054;0.2429;0.1848;0.0064;0.1838;0.1965;0.2199;0.2493;0.1852;0.1628;0.2038;0.2170;0.2375;0.1808;0.1549;0.000;0.415;0.000;0.486;0.562;0.440;0.534;0.350;0.573;0.000;0.521;0.389;0.000;0.524;0.418;0.584;0.459;0.570;0.535;0.408;0.633;0.463;0.538;0.590;
01.09.20;11:13:33;3;0;0.0049;0.0860;0.0059;0.0860;0.0938;0.0914;0.0855;0.1535;0.0963;0.0039;0.1139;0.1095;0.0039;0.0860;0.1105;0.0894;0.1310;0.0782;0.0733;0.1178;0.0782;0.1232;0.0811;0.0626;0.0064;0.1500;0.0073;0.1706;0.2165;0.1672;0.1852;0.2400;0.2258;0.0039;0.2419;0.1808;0.0059;0.1823;0.1940;0.2190;0.2458;0.1828;0.1647;0.2033;0.2141;0.2326;0.1813;0.1559;0.000;0.427;0.000;0.496;0.567;0.453;0.538;0.360;0.574;0.000;0.529;0.395;0.000;0.528;0.431;0.592;0.467;0.572;0.555;0.421;0.635;0.471;0.553;0.599;
01.09.20;11:14:34;4;0;0.0049;0.0860;0.0059;0.0860;0.0943;0.0924;0.0880;0.1530;0.0968;0.0034;0.1134;0.1085;0.0034;0.0870;0.1105;0.0904;0.1310;0.0777;0.0748;0.1178;0.0787;0.1237;0.0816;0.0630;0.0059;0.1491;0.0064;0.1716;0.2165;0.1667;0.1916;0.2395;0.2263;0.0054;0.2375;0.1799;0.0059;0.1852;0.1945;0.2175;0.2434;0.1813;0.1652;0.2014;0.2170;0.2331;0.1808;0.1603;0.000;0.423;0.000;0.499;0.564;0.446;0.541;0.361;0.572;0.000;0.523;0.397;0.000;0.530;0.432;0.584;0.462;0.571;0.547;0.415;0.637;0.470;0.549;0.607;
01.09.20;11:15:34;5;0;0.0049;0.0860;0.0064;0.0865;0.0943;0.0929;0.0890;0.1525;0.0963;0.0034;0.1129;0.1085;0.0034;0.0880;0.1095;0.0899;0.1305;0.0777;0.0748;0.1183;0.0782;0.1232;0.0821;0.0645;0.0078;0.1491;0.0068;0.1711;0.2165;0.1681;0.1921;0.2366;0.2268;0.0054;0.2424;0.1799;0.0059;0.1867;0.1891;0.2175;0.2439;0.1823;0.1632;0.2014;0.2165;0.2317;0.1808;0.1598;0.000;0.423;0.000;0.494;0.564;0.448;0.537;0.355;0.575;0.000;0.534;0.397;0.000;0.529;0.421;0.587;0.465;0.574;0.542;0.413;0.639;0.468;0.546;0.596;
