Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;15:58:52;1;0;0.0611;0.0645;0.0806;0.0880;0.0762;0.1041;0.0968;0.0660;0.0660;0.0772;0.0802;0.0782;0.1642;0.1760;0.2292;0.2351;0.2160;0.2678;0.2630;0.1828;0.1813;0.2087;0.2033;0.1984;0.628;0.633;0.648;0.626;0.647;0.611;0.632;0.639;0.636;0.630;0.606;0.606;
28.08.20;16:01:33;2;0;0.0630;0.0660;0.0826;0.0914;0.0777;0.1061;0.0982;0.0689;0.0689;0.0806;0.0811;0.0811;0.1667;0.1774;0.2297;0.2385;0.2151;0.2683;0.2659;0.1852;0.1848;0.2126;0.1989;0.2038;0.622;0.628;0.640;0.617;0.639;0.605;0.631;0.628;0.627;0.621;0.592;0.602;
28.08.20;16:02:34;3;0;0.0660;0.0694;0.0855;0.0948;0.0806;0.1100;0.1012;0.0709;0.0718;0.0841;0.0831;0.0836;0.1657;0.1774;0.2283;0.2370;0.2141;0.2644;0.2644;0.1857;0.1838;0.2151;0.1960;0.2019;0.602;0.609;0.625;0.600;0.623;0.584;0.617;0.618;0.609;0.609;0.576;0.586;
28.08.20;16:03:35;4;0;0.0670;0.0694;0.0855;0.0943;0.0806;0.1100;0.1017;0.0709;0.0718;0.0850;0.0831;0.0841;0.1676;0.1784;0.2253;0.2356;0.2131;0.2654;0.2644;0.1852;0.1823;0.2160;0.1945;0.2014;0.601;0.611;0.620;0.600;0.622;0.586;0.616;0.617;0.606;0.606;0.573;0.583;
