Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;14:24:11;1;0;0.0626;0.0714;0.0704;0.0718;0.0782;0.0885;0.0875;0.0806;0.0792;0.0670;0.0762;0.0601;0.1760;0.2043;0.1994;0.1906;0.2195;0.2512;0.2493;0.2253;0.2199;0.1911;0.2175;0.1745;0.644;0.651;0.647;0.623;0.644;0.648;0.649;0.642;0.640;0.650;0.649;0.655;
28.08.20;14:24:59;2;0;0.0674;0.0767;0.0743;0.0762;0.0836;0.0938;0.0929;0.0865;0.0841;0.0714;0.0816;0.0645;0.1730;0.1999;0.1960;0.1877;0.2170;0.2473;0.2463;0.2224;0.2180;0.1891;0.2165;0.1730;0.610;0.616;0.621;0.594;0.615;0.621;0.623;0.611;0.614;0.623;0.623;0.627;
28.08.20;14:26:00;3;0;0.0665;0.0758;0.0733;0.0748;0.0821;0.0919;0.0914;0.0855;0.0826;0.0704;0.0806;0.0640;0.1740;0.2009;0.1955;0.1872;0.2160;0.2473;0.2454;0.2214;0.2170;0.1882;0.2146;0.1735;0.618;0.623;0.625;0.601;0.620;0.628;0.627;0.614;0.619;0.626;0.624;0.631;
28.08.20;14:27:01;4;0;0.0665;0.0762;0.0738;0.0743;0.0826;0.0919;0.0914;0.0865;0.0826;0.0709;0.0806;0.0640;0.1735;0.2014;0.1950;0.1862;0.2151;0.2454;0.2429;0.2224;0.2155;0.1887;0.2141;0.1730;0.617;0.621;0.622;0.601;0.616;0.625;0.624;0.611;0.617;0.624;0.623;0.630;
28.08.20;14:28:01;5;0;0.0665;0.0758;0.0728;0.0743;0.0821;0.0914;0.0914;0.0865;0.0816;0.0709;0.0806;0.0645;0.1735;0.2009;0.1955;0.1848;0.2141;0.2449;0.2434;0.2239;0.2121;0.1896;0.2155;0.1735;0.617;0.623;0.627;0.598;0.616;0.627;0.624;0.614;0.615;0.626;0.626;0.628;
