Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;16:10:32;1;0;0.1134;0.1544;0.1153;0.1202;0.1227;0.1329;0.1593;0.1227;0.1403;0.1271;0.1686;0.1193;0.2219;0.2781;0.2273;0.2419;0.2542;0.2634;0.2889;0.2380;0.2644;0.2625;0.2928;0.2292;0.489;0.445;0.492;0.503;0.517;0.495;0.448;0.485;0.470;0.516;0.424;0.480;
28.08.20;16:12:35;2;0;0.1139;0.1564;0.1173;0.1227;0.1261;0.1354;0.1608;0.1237;0.1413;0.1325;0.1696;0.1232;0.2160;0.2781;0.2229;0.2410;0.2532;0.2595;0.2869;0.2326;0.2630;0.2654;0.2913;0.2322;0.473;0.438;0.474;0.491;0.502;0.478;0.440;0.468;0.463;0.501;0.418;0.469;
28.08.20;16:13:36;3;0;0.1173;0.1603;0.1197;0.1271;0.1305;0.1398;0.1652;0.1271;0.1466;0.1369;0.1735;0.1276;0.2141;0.2766;0.2239;0.2385;0.2488;0.2556;0.2854;0.2297;0.2600;0.2625;0.2874;0.2292;0.452;0.420;0.465;0.467;0.475;0.453;0.421;0.447;0.436;0.479;0.396;0.443;
28.08.20;16:14:37;4;0;0.1168;0.1593;0.1202;0.1261;0.1295;0.1388;0.1652;0.1261;0.1461;0.1378;0.1701;0.1276;0.2136;0.2737;0.2219;0.2370;0.2483;0.2542;0.2845;0.2278;0.2605;0.2625;0.2830;0.2287;0.453;0.418;0.458;0.468;0.478;0.454;0.419;0.446;0.439;0.475;0.399;0.442;
