Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;15:13:02;1;0;0.0611;0.0670;0.0728;0.0699;0.0684;0.1281;0.1129;0.0616;0.0748;0.0806;0.0890;0.0699;0.1935;0.2097;0.2204;0.2292;0.2204;0.3827;0.3500;0.1975;0.2375;0.2468;0.2845;0.2307;0.684;0.681;0.670;0.695;0.690;0.665;0.677;0.688;0.685;0.673;0.687;0.697;
28.08.20;15:17:06;2;0;0.0630;0.0679;0.0743;0.0709;0.0699;0.1305;0.1124;0.0616;0.0753;0.0806;0.0894;0.0704;0.1960;0.2092;0.2219;0.2273;0.2214;0.3881;0.3446;0.1984;0.2361;0.2478;0.2835;0.2263;0.678;0.675;0.665;0.688;0.684;0.664;0.674;0.690;0.681;0.675;0.684;0.689;
28.08.20;15:18:07;3;0;0.0655;0.0723;0.0777;0.0743;0.0728;0.1344;0.1188;0.0645;0.0792;0.0855;0.0934;0.0738;0.1950;0.2087;0.2195;0.2283;0.2219;0.3847;0.3475;0.1965;0.2331;0.2498;0.2849;0.2268;0.664;0.653;0.646;0.675;0.672;0.651;0.658;0.672;0.660;0.658;0.672;0.675;
28.08.20;15:19:08;4;0;0.0650;0.0718;0.0772;0.0748;0.0723;0.1349;0.1188;0.0645;0.0787;0.0850;0.0934;0.0738;0.1940;0.2092;0.2209;0.2302;0.2190;0.3861;0.3470;0.1965;0.2351;0.2483;0.2840;0.2263;0.665;0.657;0.650;0.675;0.670;0.651;0.658;0.672;0.665;0.657;0.671;0.674;
28.08.20;15:20:09;5;0;0.0650;0.0718;0.0782;0.0743;0.0723;0.1349;0.1188;0.0645;0.0787;0.0850;0.0934;0.0743;0.1935;0.2116;0.2199;0.2302;0.2185;0.3832;0.3470;0.1970;0.2351;0.2483;0.2845;0.2287;0.664;0.661;0.644;0.677;0.669;0.648;0.658;0.672;0.665;0.657;0.672;0.675;
