Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;16:21:51;1;0;0.0914;0.0767;0.1139;0.0973;0.1139;0.1026;0.1065;0.0904;0.0635;0.1036;0.0802;0.0797;0.2043;0.1799;0.2571;0.2111;0.2405;0.2366;0.2253;0.1979;0.1486;0.2170;0.1950;0.1711;0.553;0.573;0.557;0.539;0.526;0.566;0.527;0.543;0.572;0.523;0.589;0.534;
28.08.20;16:23:45;2;0;0.0958;0.0802;0.1188;0.0982;0.1168;0.1051;0.1075;0.0934;0.0655;0.1051;0.0870;0.0836;0.2072;0.1804;0.2625;0.2087;0.2410;0.2331;0.2219;0.1984;0.1457;0.2141;0.2048;0.1735;0.538;0.556;0.547;0.529;0.515;0.549;0.515;0.530;0.550;0.509;0.575;0.518;
28.08.20;16:24:47;3;0;0.0982;0.0816;0.1222;0.1012;0.1193;0.1065;0.1105;0.0968;0.0660;0.1075;0.0899;0.0865;0.2053;0.1779;0.2566;0.2067;0.2375;0.2287;0.2204;0.1965;0.1422;0.2107;0.2043;0.1745;0.521;0.541;0.524;0.511;0.498;0.534;0.499;0.507;0.536;0.490;0.560;0.504;
28.08.20;16:25:48;4;0;0.0982;0.0821;0.1217;0.1007;0.1193;0.1065;0.1105;0.0963;0.0655;0.1070;0.0880;0.0865;0.2033;0.1760;0.2537;0.2048;0.2361;0.2273;0.2190;0.1955;0.1403;0.2102;0.2004;0.1725;0.517;0.533;0.520;0.508;0.495;0.531;0.496;0.507;0.533;0.491;0.561;0.499;
