Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;15:28:31;1;0;0.0503;0.0753;0.0704;0.0547;0.0762;0.0670;0.1002;0.0728;0.0533;0.0806;0.0723;0.0464;0.1486;0.2155;0.1926;0.1471;0.2195;0.1999;0.2903;0.2063;0.1554;0.2273;0.2038;0.1300;0.661;0.651;0.635;0.628;0.653;0.665;0.655;0.647;0.657;0.645;0.645;0.643;
28.08.20;15:30:15;2;0;0.0528;0.0792;0.0733;0.0577;0.0797;0.0694;0.1046;0.0767;0.0562;0.0846;0.0758;0.0489;0.1500;0.2131;0.1877;0.1447;0.2214;0.1965;0.2879;0.2067;0.1540;0.2268;0.2028;0.1315;0.648;0.628;0.609;0.601;0.640;0.647;0.637;0.629;0.635;0.627;0.627;0.628;
28.08.20;15:31:16;3;0;0.0538;0.0816;0.0758;0.0587;0.0811;0.0714;0.1075;0.0792;0.0591;0.0865;0.0782;0.0513;0.1500;0.2121;0.1867;0.1447;0.2204;0.1965;0.2879;0.2063;0.1564;0.2239;0.2033;0.1325;0.642;0.615;0.594;0.595;0.632;0.637;0.626;0.616;0.622;0.614;0.615;0.613;
28.08.20;15:32:17;4;0;0.0533;0.0821;0.0758;0.0591;0.0816;0.0714;0.1075;0.0802;0.0591;0.0875;0.0782;0.0518;0.1476;0.2107;0.1857;0.1457;0.2199;0.1955;0.2884;0.2063;0.1559;0.2234;0.2014;0.1344;0.639;0.610;0.592;0.594;0.629;0.635;0.627;0.611;0.621;0.608;0.612;0.615;
