Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;15:45:49;1;0;0.0748;0.1056;0.1051;0.0860;0.0929;0.1285;0.1237;0.0723;0.0855;0.0846;0.0978;0.1061;0.2248;0.3162;0.2893;0.2468;0.2933;0.3876;0.3822;0.2322;0.2356;0.2273;0.2742;0.3226;0.667;0.666;0.637;0.651;0.683;0.668;0.676;0.688;0.637;0.628;0.643;0.671;
28.08.20;15:46:50;2;0;0.0802;0.1139;0.1124;0.0909;0.0997;0.1378;0.1320;0.0777;0.0909;0.0899;0.1031;0.1114;0.2219;0.3157;0.2908;0.2434;0.2942;0.3861;0.3822;0.2312;0.2341;0.2278;0.2703;0.3157;0.639;0.639;0.613;0.627;0.661;0.643;0.655;0.664;0.612;0.605;0.618;0.647;
28.08.20;15:47:51;3;0;0.0806;0.1149;0.1119;0.0909;0.1002;0.1383;0.1329;0.0782;0.0914;0.0904;0.1041;0.1129;0.2214;0.3157;0.2874;0.2424;0.2937;0.3866;0.3827;0.2307;0.2341;0.2248;0.2703;0.3167;0.636;0.636;0.611;0.625;0.659;0.642;0.653;0.661;0.610;0.598;0.615;0.644;
28.08.20;15:48:52;4;0;0.0802;0.1149;0.1119;0.0899;0.0997;0.1383;0.1325;0.0782;0.0919;0.0904;0.1041;0.1124;0.2209;0.3167;0.2884;0.2390;0.2923;0.3866;0.3812;0.2322;0.2336;0.2253;0.2703;0.3157;0.637;0.637;0.612;0.624;0.659;0.642;0.653;0.663;0.607;0.599;0.615;0.644;
