Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;15:02:44;1;0;0.1261;0.1202;0.1178;0.0885;0.1329;0.1520;0.2136;0.1422;0.1349;0.1124;0.1598;0.1349;0.2576;0.2419;0.2366;0.2033;0.2913;0.3255;0.4330;0.2703;0.2981;0.2302;0.3451;0.2825;0.510;0.503;0.502;0.565;0.544;0.533;0.507;0.474;0.548;0.512;0.537;0.522;
28.08.20;15:04:10;2;0;0.1290;0.1232;0.1202;0.0914;0.1354;0.1564;0.2185;0.1442;0.1393;0.1149;0.1652;0.1388;0.2546;0.2419;0.2346;0.2019;0.2859;0.3236;0.4291;0.2669;0.2947;0.2268;0.3441;0.2805;0.493;0.491;0.487;0.547;0.526;0.517;0.491;0.460;0.527;0.494;0.520;0.505;
28.08.20;15:05:11;3;0;0.1305;0.1241;0.1202;0.0924;0.1378;0.1584;0.2209;0.1466;0.1408;0.1163;0.1691;0.1417;0.2517;0.2380;0.2307;0.1994;0.2840;0.3211;0.4262;0.2683;0.2913;0.2268;0.3421;0.2791;0.482;0.478;0.479;0.537;0.515;0.507;0.482;0.454;0.517;0.487;0.506;0.492;
28.08.20;15:06:12;4;0;0.1300;0.1241;0.1212;0.0919;0.1373;0.1574;0.2199;0.1461;0.1408;0.1163;0.1676;0.1413;0.2502;0.2370;0.2331;0.1970;0.2820;0.3182;0.4242;0.2664;0.2893;0.2263;0.3402;0.2796;0.480;0.476;0.480;0.533;0.513;0.505;0.482;0.451;0.514;0.486;0.507;0.495;
