Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;
28.08.20;16:33:55;1;0;0.0963;0.1134;0.1305;0.0987;0.0909;0.1623;0.1109;0.1075;0.0963;0.1212;0.1593;0.0958;0.1769;0.2043;0.2493;0.1848;0.1652;0.2908;0.2043;0.1970;0.1696;0.2121;0.2688;0.1940;0.456;0.445;0.476;0.466;0.450;0.442;0.457;0.454;0.432;0.429;0.407;0.506;
28.08.20;16:35:41;2;0;0.0973;0.1139;0.1320;0.1002;0.0924;0.1652;0.1129;0.1090;0.0978;0.1227;0.1608;0.0963;0.1769;0.2009;0.2458;0.1838;0.1608;0.2908;0.2028;0.1950;0.1686;0.2136;0.2674;0.1916;0.450;0.433;0.463;0.455;0.426;0.432;0.443;0.441;0.420;0.426;0.399;0.497;
28.08.20;16:36:44;3;0;0.0982;0.1168;0.1349;0.1036;0.0953;0.1691;0.1163;0.1109;0.0997;0.1256;0.1637;0.0978;0.1725;0.1989;0.2454;0.1848;0.1613;0.2898;0.2028;0.1911;0.1681;0.2121;0.2654;0.1887;0.431;0.413;0.450;0.439;0.409;0.417;0.427;0.419;0.407;0.408;0.383;0.482;
28.08.20;16:37:45;4;0;0.0982;0.1163;0.1349;0.1036;0.0963;0.1691;0.1173;0.1109;0.1007;0.1261;0.1637;0.0982;0.1725;0.1989;0.2434;0.1833;0.1618;0.2898;0.2038;0.1916;0.1701;0.2126;0.2654;0.1887;0.431;0.415;0.446;0.435;0.405;0.417;0.424;0.421;0.408;0.407;0.383;0.479;
