Meas_Day,Sample_ID,Plate_Well_ID ,Fragment_ID
day1,057,4-C1,057
day1,058,6-C1,058
day1,059,4-B6,059
day1,060,6-D4,060
day1,061,1-A6,061
day1,062,5-C3,062
day1,063,4-C4,063
day1,064,2-C6,064
day1,065,1-A2,065
day1,066,5-A1,066
day1,067,4-A4,067
day1,068,3-B6,068
day1,069,1-D3,069
day1,070,2-D4,070
day1,071,2-B1,071
day1,072,6-C5,072
day1,073,1-C6,073
day1,074,5-C6,074
day1,075,5-B5,075
day1,076,6-D1,076
day1,077,2-B2,077
day1,078,1-D2,078
day1,079,6-D5,079
day1,080,3-D4,080
day1,081,4-C5,081
day1,082,5-A5,082
day1,083,6-B5,083
day1,084,6-D2,084
day1,085,2-A1,085
day1,086,1-B1,086
day1,087,2-A6,087
day1,088,5-B6,088
day1,089,2-D2,089
day1,090,3-B3,090
day1,091,3-B5,091
day1,092,5-A3,092
day1,093,5-A4,093
day1,094,6-A1,094
day1,095,1-C1,095
day1,096,6-C3,096
day1,097,3-C4,097
day1,098,5-D6,098
day1,099,2-B6,099
day1,100,5-A6,100
day1,101,5-C1,101
day1,102,4-A3,102
day1,103,2-D6,103
day1,104,4-D2,104
day1,105,6-C4,105
day1,106,4-D6,106
day1,107,6-C2,107
day1,108,2-A2,108
day1,109,2-D5,109
day1,110,5-D3,110
day1,111,5-C2,111
day1,112,3-C5,112
day1,113,3-B1,113
day1,114,5-B4,114
day1,115,4-B3,115
day1,116,4-A6,116
day1,117,2-D3,117
day1,118,1-B6,118
day1,119,6-B1,119
day1,120,6-A2,120
day1,121,1-C2,121
day1,122,3-A2,122
day1,123,3-D2,123
day1,124,1-D1,124
day1,125,1-A4,125
day1,126,4-B1,126
day1,127,6-D6,127
day1,128,1-C4,128
day1,129,4-B5,129
day1,130,6-D3,130
day1,131,2-B5,131
day1,132,4-C6,132
day1,133,5-B3,133
day1,134,4-D3,134
day1,135,3-C2,135
day1,136,3-A4,136
day1,137,3-B4,137
day1,138,1-B3,138
day1,139,2-C2,139
day1,140,5-D1,140
day1,141,2-A4,141
day1,142,6-A5,142
day1,143,3-C6,143
day1,144,3-A6,144
day1,145,2-A3,145
day1,146,2-B3,146
day1,147,4-D1,147
day1,148,4-A5,148
day1,149,3-B2,149
day1,150,6-A6,150
day1,151,1-D4,151
day1,152,2-B4,152
day1,153,1-C5,153
day1,154,4-C3,154
day1,155,1-A1,155
day1,156,5-C4,156
day1,157,5-A2,157
day1,158,3-D3,158
day1,159,1-B4,159
day1,160,2-C3,160
day1,161,3-D6,161
day1,162,1-D5,162
day1,163,6-B2,163
day1,164,6-A3,164
day1,165,2-C1,165
day1,166,6-B3,166
day1,167,3-D1,167
day1,168,4-A1,168
day1,b,1-A3,
day1,b,1-A5,
day1,b,1-B2,
day1,b,1-B5,
day1,b,1-C3,
day1,b,1-D6,
day1,b,2-A5,
day1,b,2-C4,
day1,b,2-C5,
day1,b,2-D1,
day1,b,3-A1,
day1,b,3-A3,
day1,b,3-A5,
day1,b,3-C1,
day1,b,3-C3,
day1,b,3-D5,
day1,b,4-A2,
day1,b,4-B2,
day1,b,4-B4,
day1,b,4-C2,
day1,b,4-D4,
day1,b,4-D5,
day1,b,5-B1,
day1,b,5-B2,
day1,b,5-C5,
day1,b,5-D2,
day1,b,5-D4,
day1,b,5-D5,
day1,b,6-A4,
day1,b,6-B4,
day1,b,6-B6,
day1,b,6-C6,
