Fragment_ID,day0,day1,day2,day3,day4,day5,day6,day7,"NOTE: Datasheet sorted by well ID after assignment, then sort back by Fragment ID"
129,4-D5,4-B5,4-B2,1-C4,1-C5,1-B1,3-D1,1-B5,
130,1-D1,6-D3,4-B3,3-C1,1-A6,1-C6,3-C2,6-C5,
131,1-D6,2-B5,1-D5,5-A3,2-A6,2-B6,5-D6,2-B6,
132,1-A2,4-C6,1-B6,5-A4,3-B3,6-D1,5-B5,1-A5,
133,2-C5,5-B3,1-A1,2-A4,4-D2,4-A6,1-C6,1-B6,
134,2-B2,4-D3,5-C3,1-C6,2-D4,3-C1,3-B5,5-C3,
135,1-C5,3-C2,3-C3,5-D1,4-C2,4-B3,5-B2,3-A6,
136,4-B5,3-A4,2-B3,4-B4,5-C5,1-C2,1-A4,3-D6,
137,3-B4,3-B4,6-A4,3-B2,1-D3,1-A2,1-B5,3-C2,
138,3-B6,1-B3,6-C1,6-A4,2-C1,4-A1,6-B5,6-A3,
139,6-B1,2-C2,3-B6,5-B3,3-C5,4-D2,5-B1,3-D4,
140,4-D3,5-D1,2-A5,1-A3,5-D5,1-C4,2-D5,1-C3,
141,4-D4,2-A4,3-C5,4-A6,3-B5,4-D3,6-A4,6-B1,
142,5-D6,6-A5,1-C6,2-B2,6-C1,3-D5,1-C2,6-A4,
143,1-C4,3-C6,4-D6,6-D2,1-A4,6-A1,1-B3,6-C1,
144,6-C2,3-A6,1-A6,3-D1,5-B1,5-C5,1-A1,5-A4,
145,3-D6,2-A3,1-D1,2-A1,6-A5,3-C3,5-D2,3-B4,
146,4-C3,2-B3,5-A5,6-B6,5-A4,5-C2,2-D1,5-A5,
147,4-D6,4-D1,5-C2,6-C3,4-D5,1-B5,4-C6,6-D2,
148,6-B4,4-A5,2-B2,4-A2,2-B3,6-C4,5-A3,1-A3,
149,2-A5,3-B2,4-A4,6-C1,5-D1,4-B4,6-B6,2-A1,
150,6-C6,6-A6,4-C4,2-D4,1-B1,5-B3,2-A3,3-A1,
151,5-D1,1-D4,4-D3,3-D4,4-A5,1-B2,1-A6,1-A6,
152,4-C6,2-B4,2-A2,5-D2,6-A1,6-A3,6-C3,3-B1,
153,6-A3,1-C5,2-C2,1-C5,5-A2,4-A3,3-A5,6-C2,
154,1-A6,4-C3,4-B6,1-A6,4-A2,5-A3,4-D5,1-B1,
155,5-B1,1-A1,3-A2,2-D5,6-B4,5-D1,6-D5,6-B4,
156,1-B5,5-C4,2-D5,5-A2,2-B5,5-B1,5-B4,4-B5,
157,2-C2,5-A2,4-C2,5-D3,3-D4,6-B2,4-C2,3-D3,
158,1-B3,3-D3,1-D6,6-A3,6-D5,6-C2,2-C5,2-C3,
159,4-B4,1-B4,4-A2,4-C4,5-A6,2-C3,2-A2,5-C5,
160,2-A3,2-C3,5-D3,6-C4,4-B4,4-B1,5-A5,5-B5,
161,3-C3,3-D6,2-D2,4-C2,1-D4,5-D6,6-D2,1-D4,
162,3-D4,1-D5,6-D4,1-D4,2-A1,3-A3,6-B3,4-B6,
163,6-D1,6-B2,5-D4,2-B5,1-B6,1-C3,5-C4,5-D1,
164,4-A4,6-A3,6-A2,2-C4,6-A2,1-B6,1-A5,5-C1,
165,5-D3,2-C1,6-A6,5-B5,6-D1,4-D4,2-C4,6-C6,
166,1-D5,6-B3,3-B5,1-C1,2-A3,6-D3,3-D5,2-D1,
167,5-A3,3-D1,3-A5,4-D2,3-A5,1-A5,1-B4,4-B1,
168,6-B5,4-A1,3-B2,5-C3,3-C1,5-D5,1-D2,5-A1,
,1-A1,1-C3,5-A1,6-D1,2-C2,6-B6,4-B3,2-D4,
,6-A4,2-C4,5-C1,6-B3,6-B6,4-A5,1-D3,4-C1,
,3-D3,4-D5,3-A6,3-A2,6-C3,3-B3,4-D2,5-B4,
,4-B2,1-A3,2-A3,5-D6,6-D2,1-D2,2-A5,2-D2,
,1-B2,3-C1,2-B4,2-D3,1-C6,4-D6,4-A1,1-B4,
,2-C4,5-B1,4-D4,5-B2,1-D1,5-D3,1-C3,2-A6,
,4-A3,6-B6,4-B5,3-D2,4-D6,3-D3,2-B3,4-A5,
,5-C1,3-D5,6-C4,4-C6,5-C2,2-B2,4-A3,3-A2,
,5-A1,2-D1,1-A2,5-D5,6-A6,1-A1,2-C3,2-C4,
,4-B3,3-C3,6-A3,4-B6,4-B2,3-C2,1-C1,1-B2,
,2-B4,5-C5,6-C5,6-B4,4-C5,2-C1,5-D1,4-A6,
,6-C5,5-B2,1-D2,3-A1,3-B1,1-D3,3-B2,6-B3,
,3-B1,4-B2,5-B4,1-B6,3-D5,3-B4,5-B3,6-C3,
,3-B5,4-A2,1-C3,1-D1,6-D3,3-D1,2-B6,3-C1,
,3-D1,5-D4,3-A4,6-B2,2-C6,4-C2,2-C1,6-D4,
,2-D6,3-A1,4-C1,4-B5,5-C6,4-C4,3-C4,1-D6,
,3-A4,1-B2,2-A1,4-B1,6-C4,2-A5,4-D4,3-D1,
,5-B3,4-C2,5-D6,3-C3,6-D6,3-D4,6-C2,2-A2,
,5-C3,2-C5,5-A6,5-A1,4-A6,6-D4,1-C5,4-D6,
,4-C2,1-D6,1-D4,6-D6,3-A6,2-C6,4-B4,4-C4,
,6-D6,5-D5,6-D1,1-B5,4-B6,2-D3,2-D4,3-C4,
,3-A3,1-A5,3-D3,5-B1,5-D2,6-A2,6-D4,2-C6,
,6-D4,5-D2,6-B5,3-B1,1-B4,3-B2,6-B1,1-D5,
,1-A5,4-D4,5-A3,4-A3,1-A1,5-A4,4-D6,4-C6,
,4-C5,6-A4,6-D2,1-D6,1-B2,1-C1,3-D3,4-B2,
,2-C3,2-A5,4-A5,5-C4,6-C2,4-C5,3-C6,6-D1,
,2-B3,6-C6,5-B3,6-A2,1-A3,3-B6,5-C3,1-C1,
,1-D2,6-B4,6-B4,6-A1,1-D2,3-A5,3-C5,5-B3,
,5-A6,3-A3,2-C1,2-D2,5-D6,2-C2,6-A3,4-A1,
,5-D2,4-B4,1-B1,2-B4,2-B1,6-B5,3-A1,6-A1,
,6-D5,1-B5,5-B2,1-B4,5-A1,1-B4,2-B1,5-D6,
,2-A4,3-A5,3-C6,3-A4,5-A3,5-C6,2-A1,2-C2,
