Meas_Day,Sample_ID,Plate_Well_ID ,Fragment_ID
day0,b,1-A1,
day0,132,1-A2,132
day0,105,1-A3,105
day0,107,1-A4,107
day0,b,1-A5,
day0,154,1-A6,154
day0,119,1-B1,119
day0,b,1-B2,
day0,158,1-B3,158
day0,114,1-B4,114
day0,156,1-B5,156
day0,109,1-B6,109
day0,089,1-C1,089
day0,073,1-C2,073
day0,117,1-C3,117
day0,143,1-C4,143
day0,135,1-C5,135
day0,072,1-C6,072
day0,130,1-D1,130
day0,b,1-D2,
day0,074,1-D3,074
day0,101,1-D4,101
day0,166,1-D5,166
day0,131,1-D6,131
day0,120,2-A1,120
day0,113,2-A2,113
day0,160,2-A3,160
day0,b,2-A4,
day0,149,2-A5,149
day0,121,2-A6,121
day0,086,2-B1,086
day0,134,2-B2,134
day0,b,2-B3,
day0,b,2-B4,
day0,079,2-B5,079
day0,068,2-B6,068
day0,063,2-C1,063
day0,157,2-C2,157
day0,b,2-C3,
day0,b,2-C4,
day0,133,2-C5,133
day0,091,2-C6,091
day0,126,2-D1,126
day0,062,2-D2,062
day0,106,2-D3,106
day0,078,2-D4,078
day0,093,2-D5,093
day0,b,2-D6,
day0,123,3-A1,123
day0,127,3-A2,127
day0,b,3-A3,
day0,b,3-A4,
day0,095,3-A5,095
day0,116,3-A6,116
day0,b,3-B1,
day0,066,3-B2,066
day0,100,3-B3,100
day0,137,3-B4,137
day0,b,3-B5,
day0,138,3-B6,138
day0,104,3-C1,104
day0,082,3-C2,082
day0,161,3-C3,161
day0,112,3-C4,112
day0,094,3-C5,094
day0,115,3-C6,115
day0,b,3-D1,
day0,085,3-D2,085
day0,b,3-D3,
day0,162,3-D4,162
day0,097,3-D5,097
day0,145,3-D6,145
day0,071,4-A1,071
day0,118,4-A2,118
day0,b,4-A3,
day0,164,4-A4,164
day0,076,4-A5,076
day0,083,4-A6,083
day0,058,4-B1,058
day0,b,4-B2,
day0,b,4-B3,
day0,159,4-B4,159
day0,136,4-B5,136
day0,061,4-B6,061
day0,103,4-C1,103
day0,b,4-C2,
day0,146,4-C3,146
day0,081,4-C4,081
day0,b,4-C5,
day0,152,4-C6,152
day0,102,4-D1,102
day0,110,4-D2,110
day0,140,4-D3,140
day0,141,4-D4,141
day0,129,4-D5,129
day0,147,4-D6,147
day0,b,5-A1,
day0,099,5-A2,099
day0,167,5-A3,167
day0,098,5-A4,098
day0,090,5-A5,090
day0,b,5-A6,
day0,155,5-B1,155
day0,067,5-B2,067
day0,b,5-B3,
day0,060,5-B4,060
day0,070,5-B5,070
day0,124,5-B6,124
day0,b,5-C1,
day0,108,5-C2,108
day0,b,5-C3,
day0,069,5-C4,069
day0,122,5-C5,122
day0,087,5-C6,087
day0,151,5-D1,151
day0,b,5-D2,
day0,165,5-D3,165
day0,096,5-D4,096
day0,084,5-D5,084
day0,142,5-D6,142
day0,088,6-A1,088
day0,064,6-A2,064
day0,153,6-A3,153
day0,b,6-A4,
day0,111,6-A5,111
day0,075,6-A6,075
day0,139,6-B1,139
day0,125,6-B2,125
day0,065,6-B3,065
day0,148,6-B4,148
day0,168,6-B5,168
day0,057,6-B6,057
day0,077,6-C1,077
day0,144,6-C2,144
day0,059,6-C3,059
day0,080,6-C4,080
day0,b,6-C5,
day0,150,6-C6,150
day0,163,6-D1,163
day0,128,6-D2,128
day0,092,6-D3,092
day0,b,6-D4,
day0,b,6-D5,
day0,b,6-D6,
