Genotype,Location,Gulf,mtORF,ITS2
PAN-5,Saboga,Panama,unknown,unknown
PAN-10,Saboga,Panama,unknown,unknown
PAN-32,Uva,Chiriqui,Type_1,C1bc
PAN-34,Uva,Chiriqui,Type_3,C1d
PAN-35,Uva,Chiriqui,Type_1,C1d
PAN-37,Saboga,Panama,Type_3,C1d
PAN-39,Saboga,Panama,Type_1,D1
PAN-41,Saboga,Panama,Type_3,C1d
PAN-43,Saboga,Panama,Type_2,D2
PAN-44,Saboga,Panama,Type_3,C1d
URA-51,Uraba,Panama,unknown,unknown
PAN-78,Uva,Chiriqui,Type_1,D1
PAN-79,Uva,Chiriqui,Type_1,D1
PAN-83,Uva,Chiriqui,Type_1,D1
